SOIL_ID,SNAM
2,FLe
19,ACh
25,ALh
39,ARh
40,ARb
62,CMe
63,CMd
67,CMv
98,LPe
99,LPd
100,LPk
103,LPq
106,LVh
108,LVx
122,NTh
123,NTr
132,PHh
156,RGe
178,VRe
180,VRk
198,WR
200,NTh
201,UR
203,MA
